"SEUCI","COUNTRY","ORDER_AMOUNT","UNIT_AMOUNT"
"04SI27E7Z10LPYM7",AE,7,88
"23A3AN8ART892HBA",AE,22,81
"2BW0MZMNWFTI9KHX",AE,21,94
"2UUP499H47EGXMQF",AE,16,68
"3TDJ75TBIZ1OMXER",AE,19,92
"4JUBC2Q5WTQ3YH98",AE,10,69
"4OSM7YFNFE613KM6",AE,18,86
"510MY1EICPLX7J4J",AE,29,121
"521KKCEISOS95YZ9",AE,34,52
"54HRM6I68O02CJEN",AE,18,68
"6AKKVX8BUDPA9LDD",AE,28,123
"6GFV6AV3RXIC142C",AE,23,83
"6IJOLBYA1DYBXLI7",AE,12,62
"6N1ROZP4HYQVD7GN",AE,14,84
"7F9VS2FWG95GA027",AE,33,83
"7KLZQSFIGE78E2FU",AE,10,61
"7UCR9DWDN5AVRWPK",AE,17,101
"8W3F991BEIVTVYKT",AE,8,54
"8ZH9AYWHHHL0M9B7",AE,21,162
"91JQMGJOP8TU1RX3",AE,14,66
"9200ST3QNTSYQO2U",AE,14,66
"998FAX207T00USBA",AE,12,56
"99P718NTL3VF2PMM",AE,8,56
"9J9FY4QAHF0BD5WL",AE,19,131
"9SWQX5II5IXH8EF5",AE,20,105
BSN01UO7MMWV1RZY,AE,4,60
C7FB023APKKUA3HI,AE,9,50
C9PHS73YIOQ25BFZ,AE,17,63
CD5DWYBLY9PDYIL8,AE,21,81
DGDZFHVBJRIE1XIT,AE,11,52
DZUTK9F479WLB30N,AE,23,112
EPNU9OA4ZVAY93P0,AE,5,52
F3VHYAQZ6WK23DFE,AE,7,53
F53177B7-1EC1-B40E-C773-F571F253E38E,AE,5,63
FM1WO0ROHS14RQ6E,AE,14,87
FOI97W2GTVM0OPR2,AE,17,97
FV5V0H4H553M9OGH,AE,11,59
G9HF1857MIXE6595,AE,18,90
GIKZ1UAGADFEDD05,AE,17,60
H0KO627MM4VCIJQH,AE,40,92
H7VGPJT2KJUV5N8L,AE,13,67
HE1FUSSBQLCCHITT,AE,41,115
HS928IW7OAHICCSN,AE,38,230
ID0SOWNB50ZUQDXT,AE,27,95
